iter	Passed	Remaining
0	0	57
1	1	95
2	2	83
3	3	94
4	4	88
5	5	84
6	6	89
7	8	95
8	9	97
9	10	98
10	12	98
11	12	94
12	14	94
13	15	94
14	16	94
15	18	94
16	19	92
17	20	92
18	21	93
19	23	93
20	24	93
21	25	91
22	27	90
23	28	89
24	29	88
25	30	85
26	31	84
27	32	83
28	33	83
29	35	82
30	36	81
31	38	80
32	39	79
33	40	79
34	41	77
35	42	76
36	44	75
37	45	74
38	46	73
39	48	72
40	49	71
41	50	69
42	51	68
43	53	67
44	54	66
45	55	65
46	57	64
47	58	63
48	59	61
49	60	60
50	62	59
51	63	58
52	64	56
53	65	55
54	66	54
55	67	53
56	68	51
57	69	50
58	70	48
59	72	48
60	73	46
61	74	45
62	75	44
63	77	43
64	78	42
65	79	41
66	81	39
67	82	38
68	83	37
69	84	36
70	85	34
71	86	33
72	88	32
73	89	31
74	89	29
75	91	28
76	92	27
77	93	26
78	95	25
79	96	24
80	97	22
81	98	21
82	99	20
83	100	19
84	101	17
85	102	16
86	104	15
87	105	14
88	106	13
89	108	12
90	108	10
91	110	9
92	111	8
93	112	7
94	114	6
95	115	4
96	116	3
97	117	2
98	118	1
99	119	0
