iter	RMSE
0	0.9143476059
1	0.895547741
2	0.8802259765
3	0.8618663898
4	0.8491787479
5	0.8350255927
6	0.8203320917
7	0.8040169875
8	0.7909855327
9	0.7751022183
10	0.7608717829
11	0.7505047114
12	0.7372398121
13	0.7245364488
14	0.7120452919
15	0.6995372276
16	0.6887195536
17	0.6777009051
18	0.6676467877
19	0.6597010648
20	0.6486042874
21	0.6388002848
22	0.6293125017
23	0.6198631933
24	0.6126358615
25	0.6073747392
26	0.6001184426
27	0.5925973029
28	0.5839642439
29	0.5762115271
30	0.5698785982
31	0.5645294962
32	0.5580593734
33	0.5508830947
34	0.5466918979
35	0.5400823179
36	0.5348964692
37	0.5295912627
38	0.5242299326
39	0.5186948097
40	0.5136792884
41	0.5088476961
42	0.5053591355
43	0.5012325355
44	0.4967860634
45	0.4918658481
46	0.4873093522
47	0.4838896101
48	0.4809923045
49	0.4774071641
50	0.4738477816
51	0.4702335523
52	0.4679810925
53	0.4645569673
54	0.4614543232
55	0.4578754765
56	0.4569690941
57	0.4542561043
58	0.4524462296
59	0.449629743
60	0.4474011419
61	0.4444906337
62	0.4424063497
63	0.440257402
64	0.4375892201
65	0.435338871
66	0.4331389423
67	0.4303707539
68	0.428506463
69	0.4268755782
70	0.4240730544
71	0.4217457527
72	0.4194609978
73	0.4176772446
74	0.4167909354
75	0.4144729989
76	0.4128740539
77	0.4114132989
78	0.409098187
79	0.4082855302
80	0.4061789647
81	0.4048429964
82	0.4043117436
83	0.402954322
84	0.4015743957
85	0.3998119427
86	0.3981612163
87	0.3968251473
88	0.3954316827
89	0.3940570695
90	0.3936283315
91	0.392017762
92	0.3906227434
93	0.38934497
94	0.3877143117
95	0.3869354876
96	0.3860724868
97	0.3858361719
98	0.3848208679
99	0.3836566505
