iter	Passed	Remaining
0	3	314
1	5	262
2	7	244
3	8	201
4	10	201
5	12	199
6	14	196
7	17	196
8	19	195
9	19	179
10	22	178
11	24	177
12	26	176
13	27	166
14	28	160
15	30	160
16	33	161
17	33	154
18	35	153
19	37	148
20	39	147
21	41	146
22	42	140
23	44	140
24	46	139
25	48	138
26	50	137
27	51	131
28	53	130
29	55	129
30	57	128
31	59	125
32	60	122
33	62	121
34	64	120
35	65	116
36	67	115
37	69	112
38	71	111
39	73	110
40	74	106
41	76	105
42	78	103
43	79	100
44	81	99
45	84	98
46	85	96
47	87	95
48	89	93
49	91	91
50	93	90
51	96	88
52	98	87
53	98	84
54	101	82
55	102	80
56	104	79
57	107	77
58	108	75
59	110	73
60	112	71
61	114	70
62	117	68
63	119	67
64	121	65
65	123	63
66	124	61
67	126	59
68	128	57
69	130	56
70	133	54
71	135	52
72	136	50
73	136	48
74	139	46
75	141	44
76	142	42
77	144	40
78	146	39
79	149	37
80	151	35
81	153	33
82	156	31
83	158	30
84	160	28
85	161	26
86	163	24
87	166	22
88	168	20
89	170	18
90	172	17
91	174	15
92	177	13
93	179	11
94	181	9
95	183	7
96	186	5
97	187	3
98	189	1
99	191	0
